DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN.x,ING,REC,CAR,SEC,I_HOGAR
7873883,1,1,1,1,0,0,1,2116666.6667
7801832,1,1,1,1,0,0,0,900000
7835590,1,1,1,1,0,0,0,1000000
7788851,1,1,1,1,0,0,1,354166.66667
7834046,1,1,1,1,0,0,1,660000
7838123,1,1,1,1,0,1,1,2988333.3333
7794989,1,1,1,1,1,0,0,280000
7872284,1,1,1,1,0,0,1,1538333.3333
7840471,1,1,1,1,0,0,1,460000
7894147,1,1,1,1,0,0,0,1041666.6667
7789959,1,1,1,1,0,0,1,750000
7796697,1,1,1,1,0,0,1,453333.33333
7869927,1,1,1,1,0,0,1,500000
7898542,1,1,1,1,0,0,1,90000
7859640,1,1,1,1,0,0,1,230000
7822468,1,1,1,1,0,0,1,1100000
7814675,1,1,1,1,0,0,1,2800000
7877160,1,1,1,1,0,0,1,1775333.3333
7792978,1,1,1,1,0,0,1,1300000
7865506,1,1,1,1,0,0,0,560000
7847596,1,1,1,1,0,0,1,1800000
7836779,1,1,1,1,0,0,1,2000000
7845123,1,1,1,1,0,0,1,3047500
7832836,1,1,1,1,0,0,0,2956666.6667
7789469,1,1,1,1,0,0,1,1010000
7867172,1,1,1,1,0,0,1,800000
7895847,1,1,1,1,0,0,0,870000
7863299,1,1,1,1,0,0,1,300000
7846119,1,1,1,1,0,0,1,280000
7880087,1,1,1,1,0,0,1,1825000
7904188,1,1,1,1,0,0,1,1350000
7866490,1,1,1,1,0,0,1,1450833.3333
7841798,1,1,1,1,0,0,1,1238000
7834189,1,1,1,1,0,0,1,2400000
7893816,1,1,1,1,0,0,1,225000
7873904,1,1,1,1,0,0,1,1300000
7796988,1,1,1,1,0,0,1,1600000
7838010,1,1,1,1,1,0,1,1380000
7789188,1,1,1,1,0,0,1,1554166.6667
7897197,1,1,1,1,0,0,1,623333.33333
7896737,1,1,1,1,0,0,1,375000
7851588,1,1,1,1,0,0,1,1070000
7835854,1,1,1,1,0,0,1,1745000
7831204,1,1,1,1,0,1,1,835000
7862092,1,1,1,1,0,0,1,200000
7804420,1,1,1,1,0,0,0,420000
7793844,1,1,1,1,0,0,1,1243333.3333
7824911,1,1,1,1,0,0,1,2100000
7878552,1,1,1,1,0,0,1,200000
7853394,1,1,1,1,0,0,1,941666.66667
7880489,1,1,1,1,1,0,1,602500
7832249,1,1,1,1,0,0,1,1050000
7848265,1,1,1,1,0,0,1,750000
7896675,1,1,1,1,0,0,1,2236666.6667
7794760,1,1,1,1,0,0,1,1300000
7890535,1,1,1,1,0,0,1,1325000
7820888,1,1,1,1,1,0,1,1200000
7843634,1,1,1,1,0,0,1,1121666.6667
7882391,1,1,1,1,0,0,1,300000
7822802,1,1,1,1,0,0,1,1035583.3333
7900412,1,1,1,1,1,0,1,20982500
7818212,1,1,1,1,1,0,1,800000
7808658,1,1,1,1,1,1,0,4648000
7846578,1,1,1,1,0,1,1,4333333.3333
7836026,1,1,1,1,0,0,1,445000
7853281,1,1,1,1,0,0,1,3408000
7832789,1,1,1,1,0,0,0,600000
7852780,1,1,1,1,0,0,1,296666.66667
7857681,1,1,1,1,0,1,1,4340000
7817560,1,1,1,1,1,1,1,2660000
7866974,1,1,1,1,0,0,1,547500
7880596,1,1,1,1,1,0,1,1200000
7883372,1,1,1,1,0,0,1,700000
7804533,1,1,1,1,0,0,1,1648666.6667
7830685,1,1,1,1,0,0,1,1145000
7832922,1,1,1,1,0,0,1,66666.666667
7871937,1,1,1,1,0,0,1,596666.66667
7793989,1,1,1,1,0,0,1,1881666.6667
7852135,1,1,1,1,0,0,1,600000
7790265,1,1,1,1,0,0,1,1858666.6667
7801661,1,1,1,1,0,0,1,1100000
7835567,1,1,1,1,0,0,1,880000
7881497,1,1,1,1,1,0,1,1500000
