"","DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN.x","ING","REC","CAR","SEC","I_HOGAR"
"35701","7839790","1","1","1",2,0,0,1,1528000
"35702","7839791","1","1","1",2,0,0,1,450000
"35703","7839793","1","1","1",2,0,0,1,3283333.3333
"35704","7839794","1","1","1",2,0,0,1,1e+06
"35705","7839795","1","1","1",1,0,0,1,182500
"35706","7839798","1","1","1",1,0,0,1,2880000
"35707","7839800","1","1","1",2,0,0,1,3030000
"35708","7839801","1","1","1",1,0,0,1,2575000
"35709","7839802","1","1","1",1,0,0,1,90000
"35710","7839803","1","1","1",3,0,0,1,6533333.3333
"35711","7839804","1","1","1",3,0,1,0,27933333.333
"35712","7839805","1","1","1",2,1,0,1,1620833.3333
"35713","7839806","1","1","1",2,0,0,1,1382833.3333
"35714","7839807","1","1","1",1,0,0,1,1400000
"35715","7839808","1","1","1",1,0,0,1,4272333.3333
"35716","7839809","1","1","1",2,0,0,1,2180000
"35717","7839810","1","1","1",1,0,0,1,356666.66667
"35718","7839810","2","1","2",2,0,0,1,1880833.3333
"35719","7839811","1","1","1",1,0,0,1,123333.33333
"35720","7839812","1","1","1",2,0,0,1,1958333.3333
"35721","7839813","1","1","1",1,0,0,1,1242000
"35722","7839814","1","1","1",2,0,0,1,1900000
"35723","7839815","1","1","1",1,0,0,1,1964166.6667
"35724","7839816","1","1","1",2,0,0,1,4110000
"35725","7839817","1","1","1",1,0,0,1,2353333.3333
"35726","7839818","1","1","1",2,0,0,1,1660000
"35727","7839819","1","1","1",2,0,1,1,2675333.3333
"35728","7839820","1","1","1",2,0,0,1,1007500
"35729","7839821","1","1","1",2,0,0,1,707500
"35730","7839822","1","1","1",2,0,0,1,5166666.6667
"35731","7839823","1","1","1",1,0,0,1,1152500
"35732","7839824","1","1","1",2,0,0,1,4346166.6667
"35733","7839825","1","1","1",1,0,0,1,825000
"35734","7839827","1","1","1",2,0,0,1,1550000
"35735","7839828","1","1","1",2,0,0,1,1133333.3333
"35736","7839831","1","1","1",1,0,0,1,406666.66667
"35737","7839832","1","1","1",1,0,0,1,516666.66667
"35738","7839833","1","1","1",1,0,0,0,2890000
"35739","7839834","1","1","1",1,0,0,1,1100000
"35740","7839835","1","1","1",1,0,0,1,2e+05
"35741","7839836","1","1","1",1,0,0,1,725000
"35742","7839837","1","1","1",1,0,0,1,925000
"35743","7839838","1","1","1",1,0,0,1,1075000
"35744","7839839","1","1","1",1,0,0,1,1725000
"35745","7839840","1","1","1",2,0,0,1,7e+05
"35746","7839841","1","1","1",1,0,0,1,950000
"35747","7839842","1","1","1",2,0,0,1,675000
"35748","7839843","1","1","1",3,1,1,1,2.5e+07
"35749","7839844","1","1","1",1,0,0,1,3200000
"35750","7839845","1","1","1",2,0,0,1,1480000
"35751","7839847","1","1","1",1,0,0,1,241666.66667
"35752","7839848","1","1","1",1,0,0,1,1975000
"35753","7839849","1","1","1",1,0,0,1,1029583.3333
"35754","7839850","1","1","1",1,0,0,0,494333.33333
"35755","7839851","1","1","1",2,0,0,1,2331333.3333
"35756","7839852","1","1","1",1,0,0,1,2257500
"35757","7839853","1","1","1",2,0,0,1,1e+05
"35758","7839854","1","1","1",3,1,0,0,1283333.3333
"35759","7839855","1","1","1",1,1,0,1,810833.33333
"35760","7839856","1","1","1",2,0,0,1,14911666.667
"35761","7839859","1","1","1",2,0,0,0,1290000
"35762","7839860","1","1","1",1,0,0,0,3133333.3333
"35763","7839861","1","1","1",1,0,0,1,2438500
"35764","7839862","1","1","1",1,1,0,1,316666.66667
"35765","7839863","1","1","1",2,0,0,1,1350000
"35766","7839864","1","1","1",2,0,0,1,256666.66667
"35767","7839865","1","1","1",2,1,0,1,966666.66667
"35768","7839866","1","1","1",1,0,0,1,460000
"35769","7839868","1","1","1",2,0,0,1,1500000
"35770","7839869","1","1","1",2,0,0,1,1350000
"35771","7839870","1","1","1",1,0,0,1,3335000
"35772","7839871","1","1","1",1,0,0,1,1730000
"35773","7839872","1","1","1",3,0,0,1,5150000
"35774","7839873","1","1","1",1,0,0,1,1200000
"35775","7839874","1","1","1",2,0,0,1,812500
"35776","7839875","1","1","1",1,0,0,1,1188000
"35777","7839877","1","1","1",1,0,0,1,1e+06
"35778","7839878","1","1","1",2,0,0,1,1024166.6667
"35779","7839879","1","1","1",1,0,0,1,1980000
"35780","7839880","1","1","1",1,0,0,1,4e+05
"35781","7839881","1","1","1",1,0,0,0,4231666.6667
"35782","7839882","1","1","1",1,0,0,0,576666.66667
"35783","7839883","1","1","1",3,0,1,1,2500000
"35784","7839884","1","1","1",2,0,0,1,1450000
"35785","7839885","1","1","1",1,0,0,1,1135000
"35786","7839886","1","1","1",1,0,0,1,1071666.6667
"35787","7839887","1","1","1",1,0,0,1,1467000
"35788","7839888","1","1","1",2,0,0,1,1100000
"35789","7839889","1","1","1",2,0,0,1,235000
"35790","7839890","1","1","1",1,0,0,1,420000
"35791","7839891","1","1","1",3,1,0,1,1875000
"35792","7839892","1","1","1",2,0,0,0,1200000
"35793","7839893","1","1","1",2,0,0,1,1015000
"35794","7839894","1","1","1",2,0,0,1,3619500
"35795","7839895","1","1","1",2,0,0,1,2530000
"35796","7839896","1","1","1",2,0,0,1,913750
"35797","7839897","1","1","1",1,0,0,1,2675000
"35798","7839898","1","1","1",1,1,0,1,1278333.3333
"35799","7839899","1","1","1",1,0,0,0,226666.66667
"35800","7839899","2","1","2",1,0,0,1,3e+05
"35801","7839900","1","1","1",1,0,0,0,2130000
"35802","7839901","1","1","1",3,1,0,1,2958333.3333
"35803","7839903","1","1","1",1,0,0,1,2500000
"35804","7839904","1","1","1",2,0,0,1,5450000
"35805","7839905","1","1","1",2,0,0,1,3891666.6667
"35806","7839906","1","1","1",2,0,0,1,420000
"35807","7839907","1","1","1",1,0,0,1,380000
"35808","7839909","1","1","1",1,0,0,1,135000
"35809","7839910","1","1","1",2,0,0,0,1041666.6667
"35810","7839911","1","1","1",2,0,0,1,2120000
"35811","7839912","1","1","1",2,1,0,1,1336233.3333
"35812","7839913","1","1","1",2,0,0,1,1533333.3333
"35813","7839914","1","1","1",1,0,0,1,1915333.3333
"35814","7839916","1","1","1",1,0,0,1,1250333.3333
"35815","7839917","1","1","1",2,0,0,0,9e+05
"35816","7839918","1","1","1",1,0,0,1,1871346.6667
"35817","7839919","1","1","1",2,0,0,1,2375000
"35818","7839920","1","1","1",2,0,0,1,4033333.3333
"35819","7839921","1","1","1",1,0,0,0,1610000
"35820","7839923","1","1","1",1,0,0,1,1400000
